Date/Time,PICA-3102,PICA-3102MV,PICA-3130,FICA-3326,FICA-3122,FICA-3113,FICA-3141,TICA-3123,TICA-3125,S3129,S3119
30/9/2021 3:00,0.85,42.07,0.45,2083.57,-0.06,2365.64,2438.18,108.27,81.66,2213.85,0
23/12/2021 11:00,0.83,29.45,0.45,2065.09,0.01,5587.23,3577.51,87.88,81.59,1815.8,0
27/1/2022 11:00,0.85,33.67,0.46,1824.91,0.05,6095.09,3308.51,105.61,81.62,7963.52,0
2/1/2022 11:00,0.79,32.52,0.42,2094.98,0.05,6138.82,3775.44,89.11,80.22,16731.98,0
22/12/2021 3:00,0.85,31.76,0.45,2120.97,0.01,5328.54,3303.19,111.92,84.14,1970.22,0
30/9/2021 11:00,0.84,27.09,0.46,2037.75,-0.02,7348.31,3698.28,88.08,81.36,17975.01,0
1/10/2021 3:00,0.8,31,0.44,2139.44,0.01,5894.98,3303.88,98.18,80.65,16097.25,0
1/10/2021 19:00,0.78,32.59,0.44,2115.41,0.01,6353.61,3122.34,88.28,80.81,2997.14,0
7/10/2021 3:00,0.78,34.65,0.43,2107.9,0.01,5481.08,3246.2,104.15,83.57,2887.86,0
26/1/2022 3:00,0.87,31.09,0.47,1845.34,0.01,5874.12,3286.71,90.31,81.91,3956.63,0
26/1/2022 19:00,0.87,31.67,0.45,2139.74,0.05,5610.76,3457.18,113.18,92.57,1631.22,0
1/1/2022 11:00,0.83,30.95,0.45,2079.66,-0.02,6246.3,3509.45,90.22,82.47,14344.91,0
26/12/2021 3:00,0.82,30.37,0.45,2082.37,0.01,5318.69,3451.85,89.79,81.47,18149.31,0
29/9/2021 19:00,0.83,38.07,0.43,1334.19,-0.06,1777,2420.67,106.92,79.71,1426.49,0
30/12/2021 11:00,0.84,28.92,0.45,2093.03,-0.02,6096.43,3468.16,91.71,82.5,1833.67,0
25/1/2022 3:00,0.85,31.33,0.45,1860.96,0.01,5798.18,3043.72,92.71,82.36,1784.88,0
4/10/2021 19:00,0.8,31.93,0.45,2103.24,0.05,5438.02,3052.91,90.55,81.43,2974.88,0
3/1/2022 3:00,0.83,30.97,0.46,2099.34,0.01,6008.97,3775.44,90.33,82.56,6027.46,0
4/10/2021 3:00,0.81,31.62,0.46,2107.6,0.05,5951.56,3104.66,102.11,82.39,1489.3,0
7/10/2021 11:00,0.79,34.44,0.44,2122.32,0.05,5918.02,3295.21,97.04,83.03,1926.58,1
31/1/2022 11:00,0.85,26.69,0.45,1839.48,0.01,5892.48,3203.54,104.13,84.58,2591.94,1
2/10/2021 19:00,0.8,34.07,0.45,2113.46,0.01,5476.74,3168.52,97.69,80.38,1710.33,1
2/2/2022 3:00,0.77,37.13,0.43,1730.73,-0.02,2583.44,2588.73,110.14,85.57,3734.38,1
1/2/2022 19:00,0.83,47.17,0.39,1774.29,0.05,6352.28,3280.36,110.96,97.19,24809.42,1
3/10/2021 19:00,0.8,32.83,0.45,2064.79,0.01,5517.47,3124.4,102.03,82.21,2601.9,1
22/12/2021 11:00,0.85,31.46,0.45,2113.61,0.01,5145.12,3204.14,95.4,80.98,2519.65,1
3/10/2021 11:00,0.8,32.45,0.45,2078.16,0.01,5699.88,2901.58,91.85,81.4,1673.96,1
29/1/2022 19:00,0.85,33.1,0.45,1968.06,0.05,6197.73,3146.64,89.76,81.56,415.67,1
31/12/2021 3:00,0.83,30.13,0.45,2081.92,0.01,6168.36,3775.44,91.5,83.36,3703.42,1
25/1/2022 11:00,0.85,31.41,0.45,1909.48,0.05,6047.36,3294.61,89.74,81.5,3521.96,1
2/1/2022 3:00,0.8,32.28,0.43,2085.67,0.01,5930.03,3642.74,91.19,82.9,6027.46,1
22/1/2022 3:00,0.88,37.69,0.47,1878.09,-0.02,4160.61,2997.72,89.15,77.78,6565.44,1
31/12/2021 11:00,0.82,30.22,0.45,2081.31,-0.02,6106.61,3775.44,90.34,81.81,2630.73,1
25/1/2022 19:00,0.86,31.21,0.46,1867.72,0.05,5871.62,3318.04,94.16,82.53,2344.91,1
31/1/2022 19:00,0.85,27.21,0.45,1894.61,0.05,6008.64,3200.62,93.86,82.88,2209.04,1
27/1/2022 19:00,0.85,31.27,0.45,2133.14,0.05,5967.58,3107.5,91.37,81.04,2725.8,1
24/1/2022 19:00,0.85,32,0.45,2038.36,0.01,5798.85,2997.72,92.55,81.79,4796.62,1
3/1/2022 11:00,0.83,31.77,0.45,2103.39,0.05,6327.74,3535.02,90.57,82.92,3864.17,1
28/1/2022 3:00,0.86,30.78,0.45,1831.82,0.05,5951.9,3102.26,94.95,82.08,2900.77,1
26/1/2022 11:00,0.92,25.62,0.42,1938.92,0.05,5978.1,3357.01,104.56,83.89,1305.46,1
3/10/2021 3:00,0.8,33.52,0.45,2116.91,-0.02,5611.1,2914.29,105.38,83.07,2921.65,1
30/1/2022 19:00,0.85,28.68,0.45,1843.84,0.05,5990.78,3494.34,89.82,81.27,816.55,1
1/1/2022 19:00,0.85,29.92,0.46,2108.8,-0.02,5940.21,3307.66,91.7,84.29,3752.28,1
22/1/2022 11:00,0.85,35.54,0.45,1903.17,0.01,5491.1,3583.35,90.98,81.29,69327.53,1
3/1/2022 19:00,0.82,32.48,0.42,2043.31,-0.02,5674.51,3367.57,97.97,83.11,738.97,1
5/10/2021 3:00,0.8,32.08,0.44,2097.54,-0.02,6430.89,3095.48,91.42,81.81,2467.89,1
28/12/2021 19:00,0.84,29.97,0.45,2095.58,0.05,6286.85,3492.62,93.94,84.37,4013.37,1
24/12/2021 11:00,0.82,30.42,0.45,2103.85,0.05,5830.9,3405.93,92.06,82.25,4396.97,1
9/10/2021 11:00,0.79,27.85,0.43,2113.91,0.01,5510.46,3191.61,110.11,84.95,50460.19,1
25/12/2021 19:00,0.82,31.18,0.44,2096.94,0.01,5643.14,3454.43,92.6,82.69,1852.32,1
30/1/2022 3:00,0.87,31.32,0.46,1858.11,0.01,6002.46,3149.73,96.1,83.46,2276.99,1
1/1/2022 3:00,0.82,30.56,0.45,2096.49,-0.02,5913.51,3775.44,91.07,83.67,3078.68,1
25/12/2021 11:00,0.82,30.63,0.45,2130.58,0.01,5712.23,3422.67,91.61,82.32,2974.62,1
29/12/2021 3:00,0.83,29.7,0.45,2059.83,0.01,6173.53,3504.47,90.33,83.67,2573.66,1
8/10/2021 11:00,0.8,30.83,0.45,2106.85,0.01,5836.07,3108.61,91.42,82.13,4178.6,1
28/1/2022 11:00,0.84,31.41,0.45,2192.92,0.05,6484.29,3091.53,90.28,80.73,6822.24,1
23/1/2022 3:00,0.87,32.85,0.46,2054.73,0.05,6334.25,3070.33,100.37,82.2,3715.73,1
6/10/2021 3:00,0.8,34.01,0.44,2098.44,0.01,5995.79,3039.17,107.42,83.47,2021.95,1
29/12/2021 19:00,0.83,29.61,0.45,2097.09,0.01,6196.06,3504.9,90.38,83.64,12442.71,1
31/12/2021 19:00,0.83,29.9,0.45,2081.01,-0.02,5951.73,3683.34,92.47,84.34,2209.63,1
27/1/2022 3:00,0.78,19.48,0.44,1925.25,0.05,5944.72,3152.47,102.49,100.06,2700.48,1
30/12/2021 19:00,0.83,29.52,0.44,2096.64,-0.02,6039.52,3549.96,91.81,83.98,4722.03,1
27/12/2021 3:00,0.84,30.64,0.45,2096.49,0.01,5627.45,3345.34,90.79,82.33,3789.58,1
2/1/2022 19:00,0.84,28.02,0.45,2115.86,0.05,5829.39,3527.47,101.32,85.08,3192.06,1
